k,sigma,amp,P_switch
1.188888888888889,-0.5,0.5,0.0
1.188888888888889,-0.5,0.75,0.0
1.188888888888889,-0.5,1.0,0.0
1.188888888888889,-0.5,1.25,0.16
1.188888888888889,-0.5,1.5,0.42
1.188888888888889,-0.5,1.75,0.7
1.188888888888889,-0.5,2.0,0.96
1.3444444444444446,-2.0,0.0,0.4
1.3444444444444446,-2.0,0.25,0.32
1.3444444444444446,-2.0,0.5,0.42
1.3444444444444446,-2.0,0.75,0.36
1.3444444444444446,-2.0,1.0,0.44
1.3444444444444446,-2.0,1.25,0.36
1.3444444444444446,-2.0,1.5,0.38
1.3444444444444446,-2.0,1.75,0.4
1.3444444444444446,-2.0,2.0,0.38
1.3444444444444446,-1.8125,0.0,0.38
1.3444444444444446,-1.8125,0.25,0.28
1.3444444444444446,-1.8125,0.5,0.42
1.3444444444444446,-1.8125,0.75,0.32
1.3444444444444446,-1.8125,1.0,0.5
1.3444444444444446,-1.8125,1.25,0.36
1.3444444444444446,-1.8125,1.5,0.4
1.3444444444444446,-1.8125,1.75,0.44
1.3444444444444446,-1.8125,2.0,0.42
1.3444444444444446,-1.625,0.0,0.46
1.3444444444444446,-1.625,0.5,0.46
1.3444444444444446,-1.625,0.25,0.36
1.3444444444444446,-1.625,0.75,0.42
1.3444444444444446,-1.625,1.0,0.34
1.3444444444444446,-1.625,1.25,0.38
1.3444444444444446,-1.625,1.5,0.58
1.3444444444444446,-1.625,1.75,0.28
1.3444444444444446,-1.625,2.0,0.36
1.3444444444444446,-1.4375,0.0,0.38
1.3444444444444446,-1.4375,0.25,0.36
1.3444444444444446,-1.4375,0.5,0.48
1.3444444444444446,-1.4375,0.75,0.38
1.3444444444444446,-1.4375,1.25,0.52
1.3444444444444446,-1.4375,1.0,0.5
1.3444444444444446,-1.4375,1.5,0.5
1.3444444444444446,-1.4375,1.75,0.44
1.3444444444444446,-1.4375,2.0,0.52
1.3444444444444446,-1.25,0.25,0.42
1.3444444444444446,-1.25,0.0,0.4
1.3444444444444446,-1.25,0.5,0.32
1.3444444444444446,-1.25,0.75,0.46
1.3444444444444446,-1.25,1.0,0.4
1.3444444444444446,-1.25,1.25,0.52
1.3444444444444446,-1.25,1.75,0.52
1.3444444444444446,-1.25,1.5,0.56
1.3444444444444446,-1.25,2.0,0.62
1.3444444444444446,-1.0625,0.0,0.44
1.3444444444444446,-1.0625,0.25,0.16
1.3444444444444446,-1.0625,0.5,0.18
1.3444444444444446,-1.0625,1.0,0.28
1.3444444444444446,-1.0625,0.75,0.22
1.3444444444444446,-1.0625,1.25,0.42
1.3444444444444446,-1.0625,1.5,0.56
1.3444444444444446,-1.0625,1.75,0.6
1.3444444444444446,-1.0625,2.0,0.84
1.3444444444444446,-0.875,0.0,0.54
1.3444444444444446,-0.875,0.5,0.02
1.3444444444444446,-0.875,0.25,0.04
1.3444444444444446,-0.875,0.75,0.06
1.3444444444444446,-0.875,1.0,0.18
1.3444444444444446,-0.875,1.25,0.3
1.3444444444444446,-0.875,1.75,0.74
1.3444444444444446,-0.875,2.0,0.76
1.3444444444444446,-0.875,1.5,0.5
1.3444444444444446,-0.6875,0.0,0.4
1.3444444444444446,-0.6875,0.25,0.0
1.3444444444444446,-0.6875,0.5,0.0
1.3444444444444446,-0.6875,0.75,0.02
1.3444444444444446,-0.6875,1.25,0.18
1.3444444444444446,-0.6875,1.0,0.06
1.3444444444444446,-0.6875,1.5,0.38
1.3444444444444446,-0.6875,1.75,0.62
1.3444444444444446,-0.6875,2.0,0.92
1.3444444444444446,-0.5,0.25,0.0
1.3444444444444446,-0.5,0.75,0.0
1.3444444444444446,-0.5,0.0,0.48
1.3444444444444446,-0.5,0.5,0.0
1.3444444444444446,-0.5,1.0,0.0
1.3444444444444446,-0.5,1.25,0.02
1.3444444444444446,-0.5,1.5,0.14
1.3444444444444446,-0.5,1.75,0.66
1.3444444444444446,-0.5,2.0,0.94
1.5,-2.0,0.0,0.42
1.5,-2.0,0.25,0.6
1.5,-2.0,0.5,0.54
1.5,-2.0,0.75,0.48
1.5,-2.0,1.25,0.38
1.5,-2.0,1.0,0.3
1.5,-2.0,1.5,0.38
1.5,-2.0,1.75,0.26
1.5,-2.0,2.0,0.34
1.5,-1.8125,0.0,0.32
1.5,-1.8125,0.25,0.42
1.5,-1.8125,0.75,0.34
1.5,-1.8125,0.5,0.42
1.5,-1.8125,1.0,0.38
1.5,-1.8125,1.25,0.44
1.5,-1.8125,1.5,0.44
1.5,-1.8125,1.75,0.58
1.5,-1.8125,2.0,0.38
1.5,-1.625,0.0,0.38
1.5,-1.625,0.25,0.4
1.5,-1.625,0.5,0.36
1.5,-1.625,0.75,0.5
1.5,-1.625,1.0,0.5
1.5,-1.625,1.25,0.48
1.5,-1.625,1.5,0.48
1.5,-1.625,1.75,0.46
1.5,-1.625,2.0,0.34
1.5,-1.4375,0.0,0.42
1.5,-1.4375,0.75,0.54
1.5,-1.4375,0.25,0.36
1.5,-1.4375,0.5,0.42
1.5,-1.4375,1.0,0.5
1.5,-1.4375,1.25,0.36
1.5,-1.4375,1.75,0.5
1.5,-1.4375,1.5,0.54
1.5,-1.25,0.0,0.68
1.5,-1.4375,2.0,0.58
1.5,-1.25,0.25,0.32
1.5,-1.25,0.5,0.34
1.5,-1.25,1.0,0.34
1.5,-1.25,0.75,0.3
1.5,-1.25,1.5,0.56
1.5,-1.25,1.25,0.66
1.5,-1.25,1.75,0.48
1.5,-1.25,2.0,0.7
1.5,-1.0625,0.0,0.58
1.5,-1.0625,0.25,0.1
1.5,-1.0625,0.5,0.04
1.5,-1.0625,0.75,0.08
1.5,-1.0625,1.0,0.28
1.5,-1.0625,1.25,0.38
1.5,-1.0625,1.5,0.48
1.5,-1.0625,1.75,0.5
1.5,-1.0625,2.0,0.66
1.5,-0.875,0.0,0.52
1.5,-0.875,0.25,0.02
1.5,-0.875,0.5,0.0
1.5,-0.875,0.75,0.06
1.5,-0.875,1.0,0.06
1.5,-0.875,1.25,0.3
1.5,-0.875,1.5,0.26
1.5,-0.875,1.75,0.6
1.5,-0.875,2.0,0.82
1.5,-0.6875,0.0,0.42
1.5,-0.6875,0.25,0.0
1.5,-0.6875,0.75,0.0
1.5,-0.6875,0.5,0.0
1.5,-0.6875,1.0,0.0
1.5,-0.6875,1.25,0.08
1.5,-0.6875,1.5,0.2
1.5,-0.6875,1.75,0.58
1.5,-0.6875,2.0,0.76
1.5,-0.5,0.0,0.48
1.5,-0.5,0.25,0.0
1.5,-0.5,0.5,0.0
1.5,-0.5,0.75,0.0
1.5,-0.5,1.0,0.0
1.5,-0.5,1.25,0.0
1.5,-0.5,1.5,0.14
1.5,-0.5,1.75,0.42
1.5,-0.5,2.0,0.68
